# Module-size ratchet ceilings (containment sprint). Enforced by
# scripts/check-module-size.sh via `bun run check:module-size` (in verify).
# Raising a ceiling is a conscious, reviewer-visible act. Lower ceilings in
# the same commit as any peel (the guard fails on >50 lines of stale slack).
# Columns: path	max_lines	policy	note
src/commands/doctor.ts	4461	ratchet	v0.46.28.0 + Vammo aggregate health checks
src/core/operations.ts	315	ratchet	peel target: containment sprint C4-C7; grown v0.46.26.0 megawave op wiring
src/core/postgres-engine.ts	6180	ratchet	v0.46.28.0 + Vammo fact-health source filtering
src/core/pglite-engine.ts	6076	ratchet	v0.46.28.0 + Vammo fact-health source filtering
src/core/migrate.ts	687	region-exempt	append-only MIGRATIONS array grows freely; runner logic is ratcheted — grown v0.46.26.0: repair-handler hooks (#3957 pages-upsert-arbiter)
src/commands/sync.ts	4512	ratchet	grown v0.46.26.0 megawave: image sync, ingest-log gating, dry-run purity, checkpoint honesty (#2683 #4342 #3875) + 3 nosemgrep dataflow annotations (path-traversal audit)
src/core/ai/gateway.ts	4494	ratchet	grown v0.46.26.0 megawave: config-plane probes + halt telemetry (#3387 #4312)
src/cli.ts	3724	ratchet	v0.46.28.0 + Vammo source-scoped export flag
src/core/cycle.ts	3188	ratchet	v0.46.28.0 + Vammo bounded conversation-facts cycle controls
src/commands/serve-http.ts	3294	ratchet	grown v0.46.25.0 D2: /mcp per-request teardown (#2844)
src/commands/jobs.ts	3122	ratchet	v0.46.28.0 + Vammo bounded extraction job handling
src/core/search/hybrid.ts	2845	ratchet	grown v0.46.26.0 megawave: CRAG escalation seam, degradation visibility, excludePrivate knobs-fold v23 (#1663 #3873 #4352)
src/core/engine.ts	2496	ratchet	v0.46.28.0 + Vammo fact health aggregation contract
src/commands/autopilot.ts	2697	ratchet	v0.46.28.0 + Vammo lock takeover, timeout, and shutdown hardening
src/commands/extract.ts	2390	ratchet	v0.46.28.0 + Vammo targeted mention extraction
src/commands/extract-conversation-facts.ts	2266	ratchet	v0.46.28.0 + Vammo bounded background extraction and terminal audit handling
src/core/import-file.ts	2142	ratchet	grown v0.46.26.0 megawave: OCR budget + image import + embed-retry rewire (#3973 #3374)
src/core/cycle/synthesize.ts	2792	ratchet	merged waves; grown v0.46.26.0 megawave + master rolling lease via shared throttled renewer
src/commands/embed.ts	1896	ratchet	lowered v0.46.26.0: retry cluster peeled to core/embed-retry.ts
src/core/types.ts	1946	ratchet	grown v0.46.26.0 megawave: EvidenceOpts, pacing/usage result fields, PageFilters growth (#4352 #4218)
src/commands/skillpack.ts	1360	ratchet
src/core/minions/queue.ts	2442	ratchet	grown #4078 + megawave probe-liveness unlatch (#4310) + master private-queue lifecycle: recovery classifier + monotonic lease
src/commands/init.ts	1950	ratchet	grown v0.46.x keyless capability notices
src/commands/integrations.ts	1736	ratchet	grown v0.46.26.0 megawave (#4039 connector compat) + 1 nosemgrep dataflow annotation (path-traversal audit)
src/core/minions/handlers/subagent.ts	1825	ratchet	merged: master v131 settle rework + dream-wave C5 peel + C6 accounting + C7 lease heartbeats/lost-lease aborts + C9 oneshot dispatch + adversarial fix batches; grown by #4078 subagent-loop capability fix
src/commands/bootstrap.ts	2010	ratchet	grandfathered at merge (grew past the 1500 cap on master); raised for #4066 HOME_WORKSPACE_GUARD_EXEMPT (status/uninstall/harness)
src/core/minions/worker.ts	1560	ratchet	grandfathered at merge (grew past the 1500 cap on master, #4170); grown v0.46.11.0 five-issue wave
src/commands/sources.ts	1790	ratchet	grown v0.46.22.0 phone wave: github source kind (#4104)
src/core/link-extraction.ts	1681	ratchet	grown v0.46.26.0 megawave: link-aware timeline split + delimiter-outside-links (#3957 #4062 #3737)
src/core/embedding-migration.ts	1545	ratchet	new row: crossed 1500 in v0.46.25.0 fix waves (#4305 #4306 chunk-model truth helpers)
src/core/github-source.ts	1560	ratchet	new row: crossed the 1500 unlisted cap in v0.46.23.0 review fix wave (scope-state gating, client hardening, symlink containment)
src/core/bootstrap/harness.ts	1947	ratchet
src/commands/hook.ts	1559	ratchet	cathedral-5 heartbeat extraction offsets part of the BrainBench-seam growth; grown v0.46.26.0 megawave hooks-ipc (#4245)
src/core/chunkers/code.ts	1556	ratchet	new row: crossed the 1500 unlisted cap in v0.46.26.0 megawave (decorated-python defs #3821, version-gate + timeout chunker fixes)
src/core/config.ts	1503	ratchet	new row: crossed the 1500 unlisted cap in v0.46.26.0 megawave (spend-controls hint #3703, config-set validation)
